instruction,input,output,context,text,bidirectional
Transform to consulting corporate speak (seniority: EXECUTIVE),what kind of problems?,Could you elaborate on the challenges you're facing?,"{'domain': 'consulting', 'seniority': 4, 'relationship': 'superior'}","### Instruction: Transform to consulting corporate speak (seniority: EXECUTIVE)
### Input: what kind of problems?
### Response: Could you elaborate on the challenges you're facing?",
Create thought leadership content,our values,We believe data-driven decision making will transform how organizations streamline their stakeholders,,"### Instruction: Create thought leadership content
### Input: our values
### Response: We believe data-driven decision making will transform how organizations streamline their stakeholders",
Translate this corporate speak to plain English,I'll deep dive with management about stakeholders,I'll detailed review with management about stakeholders,,"### Instruction: Translate this corporate speak to plain English
### Input: I'll deep dive with management about stakeholders
### Response: I'll detailed review with management about stakeholders",
Create feature announcement content,product update,We're excited to introduce security improvements that will deliver competitive advantage,,"### Instruction: Create feature announcement content
### Input: product update
### Response: We're excited to introduce security improvements that will deliver competitive advantage",
Translate this corporate speak to plain English,We need to operationalize the outcomes to achieve synergies,We need to put into practice the outcomes to achieve synergies,,"### Instruction: Translate this corporate speak to plain English
### Input: We need to operationalize the outcomes to achieve synergies
### Response: We need to put into practice the outcomes to achieve synergies",
Translate this corporate speak to plain English,We need to facilitate the deliverables to ensure alignment,We need to help with the work to ensure alignment,,"### Instruction: Translate this corporate speak to plain English
### Input: We need to facilitate the deliverables to ensure alignment
### Response: We need to help with the work to ensure alignment",
Translate this corporate speak to plain English,We need to optimize the action items to achieve synergies,We need to improve the trequests to achieve synergies,,"### Instruction: Translate this corporate speak to plain English
### Input: We need to optimize the action items to achieve synergies
### Response: We need to improve the trequests to achieve synergies",
Respond to interview question as finance professional,what are your strengths?,I believe my leadership capabilities would enable me to collaborate your processes,"{'domain': 'finance', 'scenario': 'interview'}","### Instruction: Respond to interview question as finance professional
### Input: what are your strengths?
### Response: I believe my leadership capabilities would enable me to collaborate your processes",
Translate this corporate speak to plain English,Let's strategize to reach out our initiatives,Let's plan to contact our initiatives,,"### Instruction: Translate this corporate speak to plain English
### Input: Let's strategize to reach out our initiatives
### Response: Let's plan to contact our initiatives",
Translate this corporate speak to plain English,I don't have the cycles to synergize the objectives right now,I don't have the time to work together the objectives right now,,"### Instruction: Translate this corporate speak to plain English
### Input: I don't have the cycles to synergize the objectives right now
### Response: I don't have the time to work together the objectives right now",
Translate this corporate speak to plain English,Let's operationalize to touch base our initiatives,Let's put into practice to talk our initiatives,,"### Instruction: Translate this corporate speak to plain English
### Input: Let's operationalize to touch base our initiatives
### Response: Let's put into practice to talk our initiatives",
Respond to interview question as retail professional,where do you see yourself in 5 years?,I believe my innovation potential would enable me to align your capabilities,"{'domain': 'retail', 'scenario': 'interview'}","### Instruction: Respond to interview question as retail professional
### Input: where do you see yourself in 5 years?
### Response: I believe my innovation potential would enable me to align your capabilities",
Generate a professional response in retail style,works for me,That works perfectly. I'll send a calendar invite shortly.,"{'domain': 'retail', 'seniority': 1, 'relationship': 'peer'}","### Instruction: Generate a professional response in retail style
### Input: works for me
### Response: That works perfectly. I'll send a calendar invite shortly.",
Transform to finance corporate speak (seniority: JUNIOR),nice work on the presentation,I wanted to commend you on the yield presentation. It was well-structured and effectively communicated our key points.,"{'domain': 'finance', 'seniority': 1, 'relationship': 'subordinate'}","### Instruction: Transform to finance corporate speak (seniority: JUNIOR)
### Input: nice work on the presentation
### Response: I wanted to commend you on the yield presentation. It was well-structured and effectively communicated our key points.",
Translate this corporate speak to plain English,We need to strategize the deliverables to drive value,We need to plan the work to drive value,,"### Instruction: Translate this corporate speak to plain English
### Input: We need to strategize the deliverables to drive value
### Response: We need to plan the work to drive value",
Translate this corporate speak to plain English,We should touch base on this matter,We should connect on this matter,,"### Instruction: Translate this corporate speak to plain English
### Input: We should touch base on this matter
### Response: We should connect on this matter",
Create investor communication content,performance summary,The market opportunity for objectives aligns with our talent acquisition priorities,,"### Instruction: Create investor communication content
### Input: performance summary
### Response: The market opportunity for objectives aligns with our talent acquisition priorities",
Ask a professional interview question,interviewer response to: tell me about yourself,Can you walk me through your approach to updating capabilities?,,"### Instruction: Ask a professional interview question
### Input: interviewer response to: tell me about yourself
### Response: Can you walk me through your approach to updating capabilities?",
Translate this corporate speak to plain English,I don't have the resources to leverage the objectives right now,I don't have the resources to use the objectives right now,,"### Instruction: Translate this corporate speak to plain English
### Input: I don't have the resources to leverage the objectives right now
### Response: I don't have the resources to use the objectives right now",
Generate a professional response in retail style,"it's going okay, hit a few snags","We're making steady progress, though we've encountered some inventory management that we're actively addressing.","{'domain': 'retail', 'seniority': 3, 'relationship': 'client'}","### Instruction: Generate a professional response in retail style
### Input: it's going okay, hit a few snags
### Response: We're making steady progress, though we've encountered some inventory management that we're actively addressing.",
Generate a professional response in consulting style,"good idea, I'll do that",That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.,"{'domain': 'consulting', 'seniority': 2, 'relationship': 'peer'}","### Instruction: Generate a professional response in consulting style
### Input: good idea, I'll do that
### Response: That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.",
Transform to consulting corporate speak (seniority: SENIOR),what kind of problems?,Could you elaborate on the challenges you're facing?,"{'domain': 'consulting', 'seniority': 3, 'relationship': 'superior', 'conversation_type': 'project_update'}","### Instruction: Transform to consulting corporate speak (seniority: SENIOR)
### Input: what kind of problems?
### Response: Could you elaborate on the challenges you're facing?",
Generate a professional response in retail style,works for me,That works perfectly. I'll send a calendar invite shortly.,"{'domain': 'retail', 'seniority': 3, 'relationship': 'superior'}","### Instruction: Generate a professional response in retail style
### Input: works for me
### Response: That works perfectly. I'll send a calendar invite shortly.",
Generate a professional response in manufacturing style,thanks! glad it went well,Thank you for the feedback. I'm pleased it resonated with the audience.,"{'domain': 'manufacturing', 'seniority': 3, 'relationship': 'peer'}","### Instruction: Generate a professional response in manufacturing style
### Input: thanks! glad it went well
### Response: Thank you for the feedback. I'm pleased it resonated with the audience.",
Generate a professional response in consulting style,"sure, when?",I can make myself available. What timeframe works best for you?,"{'domain': 'consulting', 'seniority': 4, 'relationship': 'peer'}","### Instruction: Generate a professional response in consulting style
### Input: sure, when?
### Response: I can make myself available. What timeframe works best for you?",
Generate a professional response in consulting style,"sure, when?",I can make myself available. What timeframe works best for you?,"{'domain': 'consulting', 'seniority': 2, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in consulting style
### Input: sure, when?
### Response: I can make myself available. What timeframe works best for you?",
Transform to healthcare corporate speak (seniority: JUNIOR),got time to chat?,I think do you have availability for a brief discussion?,"{'domain': 'healthcare', 'seniority': 1, 'relationship': 'subordinate'}","### Instruction: Transform to healthcare corporate speak (seniority: JUNIOR)
### Input: got time to chat?
### Response: I think do you have availability for a brief discussion?",
Transform to healthcare corporate speak (seniority: SENIOR),"hey, how's the project going?",I wanted to touch base on the compliance project status.,"{'domain': 'healthcare', 'seniority': 3, 'relationship': 'client'}","### Instruction: Transform to healthcare corporate speak (seniority: SENIOR)
### Input: hey, how's the project going?
### Response: I wanted to touch base on the compliance project status.",
Translate corporate speak to plain English,My bandwidth is currently limited,i'm busy,,"### Instruction: Translate corporate speak to plain English
### Input: My bandwidth is currently limited
### Response: i'm busy",True
Translate this corporate speak to plain English,"by EOD, let's touch base to discuss deliverables","By end of day, let's talk to discuss work",,"### Instruction: Translate this corporate speak to plain English
### Input: by EOD, let's touch base to discuss deliverables
### Response: By end of day, let's talk to discuss work",
Generate a professional response in finance style,"good idea, I'll do that",That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.,"{'domain': 'finance', 'seniority': 3, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in finance style
### Input: good idea, I'll do that
### Response: That's valuable input. I'll ensure we include more quantitative support in upcoming presentations.",
Transform to consulting corporate speak (seniority: MID),what kind of problems?,Could you elaborate on the challenges you're facing?,"{'domain': 'consulting', 'seniority': 2, 'relationship': 'peer'}","### Instruction: Transform to consulting corporate speak (seniority: MID)
### Input: what kind of problems?
### Response: Could you elaborate on the challenges you're facing?",
Create thought leadership content,company culture,We believe sustainable business practices will transform how organizations deliver their capabilities,,"### Instruction: Create thought leadership content
### Input: company culture
### Response: We believe sustainable business practices will transform how organizations deliver their capabilities",
Translate corporate speak to plain English,Let's ideate on potential solutions,think about it,,"### Instruction: Translate corporate speak to plain English
### Input: Let's ideate on potential solutions
### Response: think about it",True
Create mission statement content,what we stand for,We exist to collaborate industry transformation through updating innovative deliverables,,"### Instruction: Create mission statement content
### Input: what we stand for
### Response: We exist to collaborate industry transformation through updating innovative deliverables",
Create comprehensive client proposal content,client proposal,Our industry-leading solutions help organizations prioritize their outcomes to deliver exceptional value Experience scalable infrastructure that deliver your stakeholders while planning operational excellence,,"### Instruction: Create comprehensive client proposal content
### Input: client proposal
### Response: Our industry-leading solutions help organizations prioritize their outcomes to deliver exceptional value Experience scalable infrastructure that deliver your stakeholders while planning operational excellence",
Generate a professional response in healthcare style,"sure, when?",I can make myself available. What timeframe works best for you?,"{'domain': 'healthcare', 'seniority': 2, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in healthcare style
### Input: sure, when?
### Response: I can make myself available. What timeframe works best for you?",
Generate a professional response in retail style,"it's going okay, hit a few snags","We're making steady progress, though we've encountered some supply chain that we're actively addressing.","{'domain': 'retail', 'seniority': 3, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in retail style
### Input: it's going okay, hit a few snags
### Response: We're making steady progress, though we've encountered some supply chain that we're actively addressing.",
Create culture description content,vision statement,"At our core, we believe in agility and updating industry transformation through collaborative resources",,"### Instruction: Create culture description content
### Input: vision statement
### Response: At our core, we believe in agility and updating industry transformation through collaborative resources",
Generate a professional response in tech_startup style,works for me,That works perfectly. I'll send a calendar invite shortly.,"{'domain': 'tech_startup', 'seniority': 2, 'relationship': 'peer'}","### Instruction: Generate a professional response in tech_startup style
### Input: works for me
### Response: That works perfectly. I'll send a calendar invite shortly.",
Translate this corporate speak to plain English,"by EOD, let's touch base to discuss action items","By end of day, let's talk to discuss trequests",,"### Instruction: Translate this corporate speak to plain English
### Input: by EOD, let's touch base to discuss action items
### Response: By end of day, let's talk to discuss trequests",
Transform to finance corporate speak (seniority: JUNIOR),what kind of problems?,Could you elaborate on the challenges you're facing?,"{'domain': 'finance', 'seniority': 1, 'relationship': 'superior'}","### Instruction: Transform to finance corporate speak (seniority: JUNIOR)
### Input: what kind of problems?
### Response: Could you elaborate on the challenges you're facing?",
Translate this corporate speak to plain English,We're building momentum on facilitateing our deliverables,We're building momentum on facilitateing our work,,"### Instruction: Translate this corporate speak to plain English
### Input: We're building momentum on facilitateing our deliverables
### Response: We're building momentum on facilitateing our work",
Create culture description content,vision statement,We champion customer focus by organizing stakeholders that reflect our commitment to sustainable innovation,,"### Instruction: Create culture description content
### Input: vision statement
### Response: We champion customer focus by organizing stakeholders that reflect our commitment to sustainable innovation",
Translate this corporate speak to plain English,I don't have the cycles to synergize the deliverables right now,I don't have the time to work together the work right now,,"### Instruction: Translate this corporate speak to plain English
### Input: I don't have the cycles to synergize the deliverables right now
### Response: I don't have the time to work together the work right now",
Create call to action website content,get started,Take the next step in developing your stakeholders - follow up for a consultation,,"### Instruction: Create call to action website content
### Input: get started
### Response: Take the next step in developing your stakeholders - follow up for a consultation",
Translate corporate speak to plain English,What are our next action items?,what's next?,,"### Instruction: Translate corporate speak to plain English
### Input: What are our next action items?
### Response: what's next?",True
Transform to tech_startup corporate speak (seniority: SENIOR),maybe add more data next time,"For future iterations, incorporating additional data points could strengthen our narrative.","{'domain': 'tech_startup', 'seniority': 3, 'relationship': 'superior'}","### Instruction: Transform to tech_startup corporate speak (seniority: SENIOR)
### Input: maybe add more data next time
### Response: For future iterations, incorporating additional data points could strengthen our narrative.",
Create executive communication (level: EXECUTIVE),quarterly board update,We have successfully implemented our market positioning resulting in improved market share growth,"{'seniority': 4, 'scenario': 'executive_communication'}","### Instruction: Create executive communication (level: EXECUTIVE)
### Input: quarterly board update
### Response: We have successfully implemented our market positioning resulting in improved market share growth",
Create comprehensive product launch announcement content,product launch announcement,We're excited to introduce automation tools that will deliver accelerated time-to-market The immediate implementation will include comprehensive scalability features implementation Discover how we can help you transform your business - sync with our team today,,"### Instruction: Create comprehensive product launch announcement content
### Input: product launch announcement
### Response: We're excited to introduce automation tools that will deliver accelerated time-to-market The immediate implementation will include comprehensive scalability features implementation Discover how we can help you transform your business - sync with our team today",
Transform to retail corporate speak (seniority: MID),nice work on the presentation,I wanted to commend you on the channels presentation. It was well-structured and effectively communicated our key points.,"{'domain': 'retail', 'seniority': 2, 'relationship': 'subordinate'}","### Instruction: Transform to retail corporate speak (seniority: MID)
### Input: nice work on the presentation
### Response: I wanted to commend you on the channels presentation. It was well-structured and effectively communicated our key points.",
Create feature announcement for manufacturing company,announce new feature_announcement,We're excited to introduce user experience enhancements that will deliver data-driven insights,"{'domain': 'manufacturing', 'scenario': 'product_communication'}","### Instruction: Create feature announcement for manufacturing company
### Input: announce new feature_announcement
### Response: We're excited to introduce user experience enhancements that will deliver data-driven insights",
Create mission statement content,our values,Our mission is coordinating digital transformation by prioritizeing opportunities for the committee,,"### Instruction: Create mission statement content
### Input: our values
### Response: Our mission is coordinating digital transformation by prioritizeing opportunities for the committee",
Translate corporate speak to plain English,What are our next action items?,what's next?,,"### Instruction: Translate corporate speak to plain English
### Input: What are our next action items?
### Response: what's next?",True
Create roadmap vision content,new feature announcement,We're committed to planning innovative API developments that implement your market leadership,,"### Instruction: Create roadmap vision content
### Input: new feature announcement
### Response: We're committed to planning innovative API developments that implement your market leadership",
Transform to finance corporate speak (seniority: MID),"hey, how's the project going?",I wanted to touch base on the risk profile project status.,"{'domain': 'finance', 'seniority': 2, 'relationship': 'client'}","### Instruction: Transform to finance corporate speak (seniority: MID)
### Input: hey, how's the project going?
### Response: I wanted to touch base on the risk profile project status.",
Transform to consulting corporate speak (seniority: MID),maybe add more data next time,"For future iterations, incorporating additional data points could strengthen our narrative.","{'domain': 'consulting', 'seniority': 2, 'relationship': 'superior'}","### Instruction: Transform to consulting corporate speak (seniority: MID)
### Input: maybe add more data next time
### Response: For future iterations, incorporating additional data points could strengthen our narrative.",
Translate this corporate speak to plain English,Can we drill down on the stakeholders at your earliest convenience?,Can we look deeper on the stakeholders when you can?,,"### Instruction: Translate this corporate speak to plain English
### Input: Can we drill down on the stakeholders at your earliest convenience?
### Response: Can we look deeper on the stakeholders when you can?",
Create feature description website content,contact us,Leverage our industry-leading solutions to streamline deliverables and achieve operational excellence,,"### Instruction: Create feature description website content
### Input: contact us
### Response: Leverage our industry-leading solutions to streamline deliverables and achieve operational excellence",
Respond to interview question as consulting professional,why do you want this job?,I'm passionate about working on resources to customer satisfaction,"{'domain': 'consulting', 'scenario': 'interview'}","### Instruction: Respond to interview question as consulting professional
### Input: why do you want this job?
### Response: I'm passionate about working on resources to customer satisfaction",
Transform to retail corporate speak (seniority: JUNIOR),"hey, how's the project going?",I wanted to touch base on the conversion rate project status.,"{'domain': 'retail', 'seniority': 1, 'relationship': 'superior'}","### Instruction: Transform to retail corporate speak (seniority: JUNIOR)
### Input: hey, how's the project going?
### Response: I wanted to touch base on the conversion rate project status.",
Generate a professional response in retail style,thanks! glad it went well,Thank you for the feedback. I'm pleased it resonated with the audience.,"{'domain': 'retail', 'seniority': 4, 'relationship': 'peer', 'conversation_type': 'feedback_delivery'}","### Instruction: Generate a professional response in retail style
### Input: thanks! glad it went well
### Response: Thank you for the feedback. I'm pleased it resonated with the audience.",
Respond to interview question as consulting professional,tell me about yourself,I believe my strategic mindset would enable me to enhance your touchpoints,"{'domain': 'consulting', 'scenario': 'interview'}","### Instruction: Respond to interview question as consulting professional
### Input: tell me about yourself
### Response: I believe my strategic mindset would enable me to enhance your touchpoints",
Translate this corporate speak to plain English,I'll circle back with management about objectives,I'll circle back with management about objectives,,"### Instruction: Translate this corporate speak to plain English
### Input: I'll circle back with management about objectives
### Response: I'll circle back with management about objectives",
Translate this corporate speak to plain English,"early next week, let's circle back to discuss outcomes","Early next week, let's talk later to discuss outcomes",,"### Instruction: Translate this corporate speak to plain English
### Input: early next week, let's circle back to discuss outcomes
### Response: Early next week, let's talk later to discuss outcomes",
Transform to consulting corporate speak (seniority: EXECUTIVE),how about tomorrow at 2?,Would tomorrow at 2 PM work with your schedule?,"{'domain': 'consulting', 'seniority': 4, 'relationship': 'peer'}","### Instruction: Transform to consulting corporate speak (seniority: EXECUTIVE)
### Input: how about tomorrow at 2?
### Response: Would tomorrow at 2 PM work with your schedule?",
Transform to healthcare corporate speak (seniority: JUNIOR),"hey, how's the project going?",I wanted to touch base on the protocols project status.,"{'domain': 'healthcare', 'seniority': 1, 'relationship': 'peer'}","### Instruction: Transform to healthcare corporate speak (seniority: JUNIOR)
### Input: hey, how's the project going?
### Response: I wanted to touch base on the protocols project status.",
Translate this corporate speak to plain English,We're building momentum on leverageing our deliverables,We're building momentum on useing our work,,"### Instruction: Translate this corporate speak to plain English
### Input: We're building momentum on leverageing our deliverables
### Response: We're building momentum on useing our work",
Create call to action website content,contact us,Take the next step in managing your stakeholders - touch base for a consultation,,"### Instruction: Create call to action website content
### Input: contact us
### Response: Take the next step in managing your stakeholders - touch base for a consultation",
Transform to manufacturing corporate speak (seniority: EXECUTIVE),how about tomorrow at 2?,Would tomorrow at 2 PM work with your schedule?,"{'domain': 'manufacturing', 'seniority': 4, 'relationship': 'superior'}","### Instruction: Transform to manufacturing corporate speak (seniority: EXECUTIVE)
### Input: how about tomorrow at 2?
### Response: Would tomorrow at 2 PM work with your schedule?",
Transform to corporate speak,let's meet,Let's sync up to align on our objectives,,"### Instruction: Transform to corporate speak
### Input: let's meet
### Response: Let's sync up to align on our objectives",True
Transform to corporate speak,work together,Let's synergize our efforts,,"### Instruction: Transform to corporate speak
### Input: work together
### Response: Let's synergize our efforts",True
Translate this corporate speak to plain English,I'll circle back with the client about deliverables,I'll circle back with the client about work,,"### Instruction: Translate this corporate speak to plain English
### Input: I'll circle back with the client about deliverables
### Response: I'll circle back with the client about work",
Transform this to professional corporate communication,I have some feedback,Let's ping on this to ensure we're tracking our deliverables effectively,,"### Instruction: Transform this to professional corporate communication
### Input: I have some feedback
### Response: Let's ping on this to ensure we're tracking our deliverables effectively",
Transform to corporate speak,need help,I require assistance with these deliverables,,"### Instruction: Transform to corporate speak
### Input: need help
### Response: I require assistance with these deliverables",True
Create thought leadership content,company culture,The future of technology integration requires coordinating objectives that optimize collaborative ecosystem,,"### Instruction: Create thought leadership content
### Input: company culture
### Response: The future of technology integration requires coordinating objectives that optimize collaborative ecosystem",
Translate this corporate speak to plain English,We should operationalize our stakeholders to ensure optimize performance,We should put into practice our stakeholders to ensure improve performance,,"### Instruction: Translate this corporate speak to plain English
### Input: We should operationalize our stakeholders to ensure optimize performance
### Response: We should put into practice our stakeholders to ensure improve performance",
Translate corporate speak to plain English,Excellent execution on those initiatives,good job,,"### Instruction: Translate corporate speak to plain English
### Input: Excellent execution on those initiatives
### Response: good job",True
Translate this corporate speak to plain English,We should optimize our outcomes to ensure drive value,We should improve our outcomes to ensure drive value,,"### Instruction: Translate this corporate speak to plain English
### Input: We should optimize our outcomes to ensure drive value
### Response: We should improve our outcomes to ensure drive value",
Translate corporate speak to plain English,Let's operationalize this initiative,let's start,,"### Instruction: Translate corporate speak to plain English
### Input: Let's operationalize this initiative
### Response: let's start",True
Translate this corporate speak to plain English,We need to synergize the initiatives to achieve synergies,We need to work together the initiatives to achieve synergies,,"### Instruction: Translate this corporate speak to plain English
### Input: We need to synergize the initiatives to achieve synergies
### Response: We need to work together the initiatives to achieve synergies",
Translate this corporate speak to plain English,Let's optimize to touch base our action items,Let's improve to talk our trequests,,"### Instruction: Translate this corporate speak to plain English
### Input: Let's optimize to touch base our action items
### Response: Let's improve to talk our trequests",
Transform to finance corporate speak (seniority: EXECUTIVE),"hey, how's the project going?",I wanted to touch base on the liquidity project status.,"{'domain': 'finance', 'seniority': 4, 'relationship': 'subordinate'}","### Instruction: Transform to finance corporate speak (seniority: EXECUTIVE)
### Input: hey, how's the project going?
### Response: I wanted to touch base on the liquidity project status.",
Translate corporate speak to plain English,I require assistance with these deliverables,need help,,"### Instruction: Translate corporate speak to plain English
### Input: I require assistance with these deliverables
### Response: need help",True
Transform to corporate speak,think about it,Let's ideate on potential solutions,,"### Instruction: Transform to corporate speak
### Input: think about it
### Response: Let's ideate on potential solutions",True
Translate corporate speak to plain English,Let's optimize this for better outcomes,make it better,,"### Instruction: Translate corporate speak to plain English
### Input: Let's optimize this for better outcomes
### Response: make it better",True
Transform to retail corporate speak (seniority: JUNIOR),got time to chat?,I think do you have availability for a brief discussion?,"{'domain': 'retail', 'seniority': 1, 'relationship': 'superior'}","### Instruction: Transform to retail corporate speak (seniority: JUNIOR)
### Input: got time to chat?
### Response: I think do you have availability for a brief discussion?",
Translate this corporate speak to plain English,We should synergize on this matter,We should collaborate on this matter,,"### Instruction: Translate this corporate speak to plain English
### Input: We should synergize on this matter
### Response: We should collaborate on this matter",
Generate a professional response in healthcare style,"sure, when?",I can make myself available. What timeframe works best for you?,"{'domain': 'healthcare', 'seniority': 4, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in healthcare style
### Input: sure, when?
### Response: I can make myself available. What timeframe works best for you?",
Transform this to professional corporate communication,Are you available?,I'll schedule time in the coming days with an update on the workflows,,"### Instruction: Transform this to professional corporate communication
### Input: Are you available?
### Response: I'll schedule time in the coming days with an update on the workflows",
Transform multi-part message to manufacturing corporate style (level: MID),"hey team
quick update on the project
we hit some issues but found solutions
let me know if you need details","Good morning team,
I wanted to provide a brief update on our supply chain
While we encountered some quality issues, we've identified viable solutions
Please don't hesitate to reach out if you require additional details","{'domain': 'manufacturing', 'seniority': 2, 'message_type': 'multi_part_update'}","### Instruction: Transform multi-part message to manufacturing corporate style (level: MID)
### Input: hey team
quick update on the project
we hit some issues but found solutions
let me know if you need details
### Response: Good morning team,
I wanted to provide a brief update on our supply chain
While we encountered some quality issues, we've identified viable solutions
Please don't hesitate to reach out if you require additional details",
Create investor communication content,board presentation,We're well-positioned to streamline talent acquisition and deliver sustained market share growth,,"### Instruction: Create investor communication content
### Input: board presentation
### Response: We're well-positioned to streamline talent acquisition and deliver sustained market share growth",
Generate a professional response in healthcare style,"sure, when?",I can make myself available. What timeframe works best for you?,"{'domain': 'healthcare', 'seniority': 2, 'relationship': 'peer', 'conversation_type': 'meeting_request'}","### Instruction: Generate a professional response in healthcare style
### Input: sure, when?
### Response: I can make myself available. What timeframe works best for you?",
Transform to corporate speak,need help,I require assistance with these deliverables,,"### Instruction: Transform to corporate speak
### Input: need help
### Response: I require assistance with these deliverables",True
Create feature description website content,get started,Our advanced analytics provide the expectations you need to unlock new opportunities,,"### Instruction: Create feature description website content
### Input: get started
### Response: Our advanced analytics provide the expectations you need to unlock new opportunities",
Transform to corporate speak,need help,I require assistance with these deliverables,,"### Instruction: Transform to corporate speak
### Input: need help
### Response: I require assistance with these deliverables",True
Create board presentation content,strategic review,The board should note our transformative results in developing revenue growth,,"### Instruction: Create board presentation content
### Input: strategic review
### Response: The board should note our transformative results in developing revenue growth",
Transform to finance corporate speak (seniority: SENIOR),how about tomorrow at 2?,Would tomorrow at 2 PM work with your schedule?,"{'domain': 'finance', 'seniority': 3, 'relationship': 'subordinate'}","### Instruction: Transform to finance corporate speak (seniority: SENIOR)
### Input: how about tomorrow at 2?
### Response: Would tomorrow at 2 PM work with your schedule?",
Create investor communication content,performance summary,We're well-positioned to collaborate sustainability initiatives and deliver sustained quarterly performance indicators,,"### Instruction: Create investor communication content
### Input: performance summary
### Response: We're well-positioned to collaborate sustainability initiatives and deliver sustained quarterly performance indicators",
Translate corporate speak to plain English,Let's optimize this for better outcomes,make it better,,"### Instruction: Translate corporate speak to plain English
### Input: Let's optimize this for better outcomes
### Response: make it better",True
Transform to retail corporate speak (seniority: MID),what kind of problems?,Could you elaborate on the challenges you're facing?,"{'domain': 'retail', 'seniority': 2, 'relationship': 'subordinate'}","### Instruction: Transform to retail corporate speak (seniority: MID)
### Input: what kind of problems?
### Response: Could you elaborate on the challenges you're facing?",
Translate this corporate speak to plain English,"at your earliest convenience, let's drill down to discuss stakeholders","When you can, let's look deeper to discuss stakeholders",,"### Instruction: Translate this corporate speak to plain English
### Input: at your earliest convenience, let's drill down to discuss stakeholders
### Response: When you can, let's look deeper to discuss stakeholders",
Transform to corporate speak,i disagree,I have a different perspective on this approach,,"### Instruction: Transform to corporate speak
### Input: i disagree
### Response: I have a different perspective on this approach",True
Generate a professional response in healthcare style,the timeline is tight and we need more people,The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.,"{'domain': 'healthcare', 'seniority': 2, 'relationship': 'peer'}","### Instruction: Generate a professional response in healthcare style
### Input: the timeline is tight and we need more people
### Response: The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.",
Create roadmap vision for healthcare company,announce new roadmap_vision,"Over the next quarter, we'll be improving key security improvements that deliver seamless integration","{'domain': 'healthcare', 'scenario': 'product_communication'}","### Instruction: Create roadmap vision for healthcare company
### Input: announce new roadmap_vision
### Response: Over the next quarter, we'll be improving key security improvements that deliver seamless integration",
Create thought leadership content,market analysis,The future of future of work requires improving deliverables that enhance future-ready solutions,,"### Instruction: Create thought leadership content
### Input: market analysis
### Response: The future of future of work requires improving deliverables that enhance future-ready solutions",
Translate this corporate speak to plain English,I'll circle back with leadership about deliverables,I'll circle back with leadership about work,,"### Instruction: Translate this corporate speak to plain English
### Input: I'll circle back with leadership about deliverables
### Response: I'll circle back with leadership about work",
Create culture description content,our purpose,We champion customer focus by developing deliverables that reflect our commitment to operational excellence,,"### Instruction: Create culture description content
### Input: our purpose
### Response: We champion customer focus by developing deliverables that reflect our commitment to operational excellence",
Create timeline communication content,development timeline,The phased approach will include comprehensive scalability features implementation,,"### Instruction: Create timeline communication content
### Input: development timeline
### Response: The phased approach will include comprehensive scalability features implementation",
Translate corporate speak to plain English,I have a different perspective on this approach,i disagree,,"### Instruction: Translate corporate speak to plain English
### Input: I have a different perspective on this approach
### Response: i disagree",True
Create feature announcement content,roadmap priorities,Our gradual deployment will focus on reviewing scalability features to achieve competitive advantage,,"### Instruction: Create feature announcement content
### Input: roadmap priorities
### Response: Our gradual deployment will focus on reviewing scalability features to achieve competitive advantage",
Transform to consulting corporate speak (seniority: SENIOR),what kind of problems?,Could you elaborate on the challenges you're facing?,"{'domain': 'consulting', 'seniority': 3, 'relationship': 'superior'}","### Instruction: Transform to consulting corporate speak (seniority: SENIOR)
### Input: what kind of problems?
### Response: Could you elaborate on the challenges you're facing?",
Generate a professional response in tech_startup style,"it's going okay, hit a few snags","We're making steady progress, though we've encountered some platform stability that we're actively addressing.","{'domain': 'tech_startup', 'seniority': 4, 'relationship': 'subordinate'}","### Instruction: Generate a professional response in tech_startup style
### Input: it's going okay, hit a few snags
### Response: We're making steady progress, though we've encountered some platform stability that we're actively addressing.",
Generate a professional response in consulting style,the timeline is tight and we need more people,The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.,"{'domain': 'consulting', 'seniority': 4, 'relationship': 'superior'}","### Instruction: Generate a professional response in consulting style
### Input: the timeline is tight and we need more people
### Response: The current timeline is aggressive given our resource constraints. We may need to discuss augmenting the team or adjusting our deliverable schedule.",
Transform to tech_startup corporate speak (seniority: MID),nice work on the presentation,I wanted to commend you on the MVP presentation. It was well-structured and effectively communicated our key points.,"{'domain': 'tech_startup', 'seniority': 2, 'relationship': 'superior'}","### Instruction: Transform to tech_startup corporate speak (seniority: MID)
### Input: nice work on the presentation
### Response: I wanted to commend you on the MVP presentation. It was well-structured and effectively communicated our key points.",
